City,Highest_Expense_Type,Lowest_Expense_Type
"Panvel, India",Food,Entertainment
"Pappinisseri, India",Bills,Food
"Paradip, India",Bills,Bills
"Paramakudi, India",Food,Grocery
"Paravoor, India",Fuel,Grocery
"Parbhani, India",Bills,Grocery
"Parlakhemundi, India",Grocery,Entertainment
"Parli, India",Food,Grocery
"Partur, India",Fuel,Grocery
"Parvathipuram, India",Entertainment,Grocery
"Pasan, India",Entertainment,Grocery
"Paschim Punropara, India",Entertainment,Fuel
"Patan, India",Fuel,Entertainment
"Pathanamthitta, India",Grocery,Food
"Pathankot, India",Grocery,Food
"Pathri, India",Grocery,Entertainment
"Patiala, India",Bills,Food
"Patna, India",Grocery,Fuel
"Patratu, India",Food,Fuel
"Pattamundai, India",Bills,Food
"Patti, India",Grocery,Food
"Pattukkottai, India",Grocery,Food
"Pavagada, India",Entertainment,Food
"Pedana, India",Food,Grocery
"Peddapuram, India",Grocery,Fuel
"Pehowa, India",Food,Grocery
"Pen, India",Grocery,Entertainment
"Perambalur, India",Entertainment,Bills
"Peringathur, India",Entertainment,Bills
"Perinthalmanna, India",Bills,Grocery
"Periyakulam, India",Bills,Food
"Periyasemur, India",Food,Bills
"Pernampattu, India",Entertainment,Bills
"Perumbavoor, India",Entertainment,Bills
"Petlad, India",Entertainment,Food
"Phagwara, India",Fuel,Bills
"Phalodi, India",Entertainment,Fuel
"Phaltan, India",Grocery,Fuel
"Phulabani, India",Fuel,Bills
"Phusro, India",Grocery,Bills
"Pihani, India",Grocery,Fuel
"Pilani, India",Grocery,Food
"Pilibanga, India",Fuel,Food
"Pilibhit, India",Food,Bills
"Pilkhuwa, India",Grocery,Fuel
"Pinjore, India",Fuel,Bills
"Pipar City, India",Entertainment,Fuel
"Pipariya, India",Grocery,Entertainment
"Pithampur, India",Food,Grocery
"Pithapuram, India",Entertainment,Fuel
"Pithoragarh, India",Food,Fuel
"Pollachi, India",Fuel,Grocery
"Pondicherry, India",Food,Entertainment
"Ponnani, India",Grocery,Fuel
"Ponnur, India",Entertainment,Fuel
"Porbandar, India",Fuel,Bills
"Porsa, India",Fuel,Entertainment
"Port Blair, India",Fuel,Entertainment
"Pratapgarh, India",Grocery,Entertainment
"Proddatur, India",Grocery,Entertainment
"Pudukkottai, India",Entertainment,Food
"Pulgaon, India",Grocery,Fuel
"Puliyankudi, India",Food,Bills
"Punalur, India",Entertainment,Grocery
"Punch, India",Grocery,Entertainment
"Pune, India",Food,Travel
"Punganur, India",Bills,Food
"Puranpur, India",Food,Bills
"Puri, India",Entertainment,Food
"Purna, India",Fuel,Bills
"Purnia, India",Bills,Grocery
"Purulia, India",Fuel,Grocery
"Pusad, India",Food,Bills
"Puttur, India",Fuel,Bills
"Raayachuru, India",Food,Bills
"Rabkavi Banhatti, India",Food,Fuel
"Radhanpur, India",Grocery,Fuel
"Rae Bareli, India",Entertainment,Grocery
"Raghogarh-Vijaypur, India",Bills,Fuel
"Raghunathganj, India",Grocery,Food
"Rahuri, India",Bills,Entertainment
"Raiganj, India",Food,Fuel
"Raigarh, India",Grocery,Bills
"Raipur, India",Food,Grocery
"Raisen, India",Fuel,Grocery
"Raisinghnagar, India",Fuel,Entertainment
"Rajagangapur, India",Grocery,Fuel
"Rajahmundry, India",Bills,Fuel
"Rajakhera, India",Food,Grocery
"Rajampet, India",Grocery,Bills
"Rajapalayam, India",Grocery,Entertainment
"Rajgarh (Churu), India",Grocery,Bills
"Rajgir, India",Entertainment,Bills
"Rajkot, India",Bills,Fuel
"Rajnandgaon, India",Grocery,Fuel
"Rajpipla, India",Food,Bills
"Rajpura, India",Fuel,Food
"Rajsamand, India",Entertainment,Fuel
"Rajula, India",Entertainment,Fuel
"Ramachandrapuram, India",Bills,Food
"Ramagundam, India",Entertainment,Grocery
"Ramanagaram, India",Grocery,Fuel
"Ramanathapuram, India",Grocery,Entertainment
"Ramdurg, India",Grocery,Food
"Rameshwaram, India",Bills,Entertainment
"Ramganj Mandi, India",Food,Entertainment
"Ramgarh, India",Fuel,Bills
"Ramnagar, India",Bills,Entertainment
"Ramngarh, India",Bills,Food
"Rampur, India",Bills,Food
"Rampura Phul, India",Food,Bills
"Rampurhat, India",Food,Entertainment
"Ranaghat, India",Grocery,Fuel
"Ranavav, India",Bills,Grocery
"Ranchi, India",Bills,Grocery
"Ranebennuru, India",Food,Grocery
"Ranibennur, India",Grocery,Food
"Ranipet, India",Grocery,Fuel
"Rasipuram, India",Food,Entertainment
"Rasra, India",Entertainment,Grocery
"Ratangarh, India",Entertainment,Fuel
"Rath, India",Fuel,Grocery
"Ratlam, India",Bills,Grocery
"Ratnagiri, India",Food,Fuel
"Raurkela, India",Food,Bills
"Raver, India",Bills,Entertainment
"Rawatbhata, India",Food,Entertainment
"Rawatsar, India",Entertainment,Fuel
"Raxaul Bazar, India",Food,Bills
"Rayachoti, India",Food,Fuel
"Rayadurg, India",Entertainment,Grocery
"Rayagada, India",Fuel,Fuel
"Renukoot, India",Entertainment,Food
"Repalle, India",Entertainment,Bills
"Revelganj, India",Fuel,Grocery
"Rewa, India",Entertainment,Food
"Rewari, India",Entertainment,Food
"Rishikesh, India",Bills,Entertainment
"Risod, India",Fuel,Grocery
"Robertsganj, India",Food,Entertainment
"Robertson Pet, India",Fuel,Entertainment
"Rohtak, India",Food,Entertainment
"Roorkee, India",Entertainment,Food
"Rosera, India",Fuel,Bills
"Rudauli, India",Food,Bills
"Rudrapur, India",Grocery,Fuel
"Rupnagar, India",Grocery,Bills
"Sabalgarh, India",Grocery,Entertainment
"Sadabad, India",Food,Grocery
"Sadasivpet, India",Fuel,Bills
"Sadulpur, India",Fuel,Bills
"Safidon, India",Bills,Entertainment
"Sagar, India",Grocery,Food
"Sagara, India",Entertainment,Food
"Sagwara, India",Food,Bills
"Saharanpur, India",Entertainment,Grocery
"Saharsa, India",Food,Entertainment
"Sahaswan, India",Food,Entertainment
"Sahibganj, India",Grocery,Entertainment
"Sailu, India",Fuel,Grocery
"Sainthia, India",Bills,Grocery
"Salaya, India",Grocery,Food
"Salem, India",Bills,Grocery
"Salur, India",Bills,Food
"Samalkot, India",Food,Fuel
"Samana, India",Food,Entertainment
"Samastipur, India",Food,Bills
"Sambalpur, India",Grocery,Bills
"Sambhal, India",Entertainment,Food
"Sanand, India",Grocery,Food
"Sanawad, India",Fuel,Entertainment
"Sandila, India",Entertainment,Grocery
"Sanduru, India",Fuel,Food
"Sangamner, India",Fuel,Bills
"Sangareddy, India",Fuel,Grocery
"Sangaria, India",Food,Grocery
"Sangli, India",Bills,Grocery
"Sangole, India",Bills,Food
"Sangrur, India",Entertainment,Grocery
"Sankarankoil, India",Grocery,Fuel
"Sankari, India",Food,Entertainment
"Sankeshwara, India",Entertainment,Food
"Santipur, India",Fuel,Bills
"Sarangpur, India",Food,Grocery
"Sardarshahar, India",Food,Fuel
"Sardhana, India",Entertainment,Food
"Sarni, India",Bills,Food
"Sasaram, India",Entertainment,Bills
"Sasvad, India",Food,Entertainment
"Satana, India",Food,Entertainment
"Satara, India",Food,Bills
"Sathyamangalam, India",Food,Fuel
"Satna, India",Bills,Food
"Sattenapalle, India",Grocery,Fuel
"Sattur, India",Bills,Grocery
"Saunda, India",Bills,Grocery
"Saundatti-Yellamma, India",Food,Fuel
"Savanur, India",Entertainment,Fuel
"Savarkundla, India",Entertainment,Fuel
"Savner, India",Bills,Grocery
"Sawai Madhopur, India",Food,Fuel
"Sedam, India",Food,Grocery
"Sehore, India",Bills,Entertainment
"Sendhwa, India",Entertainment,Bills
"Seohara, India",Entertainment,Grocery
"Seoni-Malwa, India",Fuel,Grocery
"Seoni, India",Food,Grocery
"Shahabad Hardoi, India",Grocery,Entertainment
"Shahabad Rampur, India",Entertainment,Grocery
"Shahabad, India",Entertainment,Bills
"Shahade, India",Entertainment,Grocery
"Shahbad, India",Food,Fuel
"Shahdol, India",Bills,Entertainment
"Shahjahanpur, India",Entertainment,Fuel
"Shahpur, India",Food,Entertainment
"Shahpura, India",Bills,Food
"Shajapur, India",Grocery,Fuel
"Shamli, India",Fuel,Entertainment
"Shamsabad Agra, India",Food,Bills
"Shegaon, India",Entertainment,Fuel
"Sheikhpura, India",Fuel,Entertainment
"Shenkottai, India",Fuel,Bills
"Sheopur, India",Food,Bills
"Sherghati, India",Grocery,Food
"Sherkot, India",Grocery,Fuel
"Shikaripur, India",Food,Grocery
